,city,10,20,30
452,Севск,4.0,4.92,5.28
453,Сурск,4.0,4.92,5.28
454,Иннополис,3.98,4.91,5.26
455,Зеленодольск,3.98,4.91,5.26
456,Заволжье,3.97,4.91,5.26
457,Старый Крым,4.26,4.91,5.26
458,Судак,4.26,4.91,5.26
459,Анжеро-Судженск,4.0,4.91,5.26
460,Талица,3.95,4.91,5.26
461,Ялта,4.62,4.89,5.24
462,Алушта,4.62,4.89,5.24
463,Михайловск,4.01,4.88,5.23
464,Ставрополь,4.01,4.88,5.23
465,Волоколамск,3.95,4.88,5.23
466,Мариинск,3.95,4.88,5.23
467,Горняк,3.98,4.87,5.22
468,Лабытнанги,4.04,4.87,5.22
469,Поронайск,4.32,4.87,5.22
470,Десногорск,3.93,4.87,5.22
471,Рославль,3.93,4.87,5.22
472,Жиздра,3.93,4.87,5.22
473,Саки,4.17,4.85,5.2
474,Бахчисарай,4.17,4.85,5.2
475,Стерлитамак,3.96,4.85,5.2
476,Салават,3.96,4.85,5.2
477,Чебаркуль,3.89,4.85,5.2
478,Городище,3.92,4.85,5.2
479,Усинск,4.03,4.84,5.19
480,Брянск,3.92,4.84,5.19
481,Шацк,3.91,4.84,5.19
482,Менделеевск,3.93,4.84,5.19
483,Ужур,3.91,4.84,5.18
484,Переславль-Залесский,3.89,4.82,5.17
485,Струнино,3.89,4.82,5.17
486,Карабаново,3.89,4.82,5.17
487,Александров,3.89,4.82,5.17
488,Клинцы,3.89,4.81,5.16
489,Унеча,3.89,4.81,5.16
490,Сураж,3.89,4.81,5.16
491,Дятьково,3.89,4.81,5.16
492,Сельцо,3.89,4.81,5.16
493,Благодарный,3.94,4.8,5.14
494,Янаул,3.88,4.8,5.14
495,Медынь,3.86,4.79,5.13
496,Кондрово,3.86,4.79,5.13
497,Верхнеуральск,3.85,4.79,5.13
498,Ядрин,3.86,4.78,5.13
499,Ардатов,3.86,4.77,5.11
500,Суздаль,3.85,4.77,5.11
501,Людиново,3.82,4.76,5.11
502,Магадан,4.26,4.75,5.1
503,Джанкой,3.84,4.75,5.09
504,Остров,3.85,4.74,5.09
505,Борзя,3.87,4.74,5.08
