,city,10,20,30
579,Череповец,3.84,4.54,5.01
580,Новочебоксарск,3.84,4.58,5.08
581,Мариинский Посад,3.84,4.58,5.08
582,Цивильск,3.84,4.58,5.08
583,Чебоксары,3.84,4.58,5.08
584,Сортавала,3.83,4.45,4.85
585,Мещовск,3.83,4.58,5.09
586,Юхнов,3.83,4.58,5.09
587,Мосальск,3.83,4.58,5.09
588,Макаров,3.82,4.47,4.91
589,Учалы,3.8,4.57,5.08
590,Адыгейск,3.8,4.5,4.98
591,Жуковка,3.8,4.56,5.07
592,Вятские Поляны,3.79,4.54,5.05
593,Яранск,3.78,4.54,5.05
594,Елабуга,3.78,4.52,5.02
595,Минеральные Воды,3.77,4.32,4.69
596,Камбарка,3.77,4.52,5.03
597,Асино,3.77,4.48,4.96
598,Ессентуки,3.77,4.32,4.69
599,Железноводск,3.77,4.32,4.69
600,Пятигорск,3.77,4.32,4.69
601,Лермонтов,3.77,4.32,4.69
602,Шахунья,3.76,4.52,5.03
603,Ноябрьск,3.76,4.47,4.94
604,Семенов,3.74,4.49,5.0
605,Долинск,3.73,4.44,4.91
606,Сарапул,3.72,4.46,4.96
607,Ишимбай,3.71,4.44,4.94
608,Саров,3.7,4.46,4.98
609,Губкинский,3.69,4.44,4.95
610,Черепаново,3.65,4.39,4.9
611,Южно-Сахалинск,3.63,4.33,4.81
612,Фокино,3.63,4.23,4.63
613,Большой Камень,3.63,4.23,4.63
614,Уссурийск,3.62,4.3,4.74
615,Печора,3.62,4.31,4.78
616,Уржум,3.62,4.39,4.91
617,Бородино,3.61,4.36,4.86
618,Заозерный,3.61,4.36,4.86
619,Канск,3.6,4.33,4.83
620,Салаир,3.58,4.31,4.8
621,Беломорск,3.57,4.25,4.7
622,Катайск,3.55,4.34,4.89
623,Белорецк,3.53,4.22,4.68
624,Белокуриха,3.53,4.2,4.64
625,Ковров,3.53,4.29,4.8
626,Межгорье,3.53,4.22,4.68
627,Камешково,3.53,4.29,4.8
628,Псков,3.52,4.26,4.76
629,Бийск,3.51,4.18,4.63
630,Чернушка,3.49,4.27,4.8
631,Кемерово,3.48,4.23,4.74
632,Вязники,3.48,4.25,4.78
633,Оханск,3.46,4.21,4.72
634,Грозный,3.46,3.98,4.32
635,Аргун,3.46,3.98,4.32
636,Оса,3.46,4.21,4.72
637,Приозерск,3.44,4.11,4.56
638,Краснозаводск,3.43,4.2,4.73
639,Пересвет,3.43,4.2,4.73
640,Сергиев Посад,3.43,4.2,4.73
641,Хотьково,3.43,4.2,4.73
642,Лесозаводск,3.43,4.13,4.6
643,Дербент,3.42,3.83,4.1
644,Уяр,3.42,4.17,4.68
645,Зеленогорск,3.42,4.17,4.68
646,Дагестанские Огни,3.42,3.83,4.1
647,Кисловодск,3.4,3.88,4.18
648,Камышлов,3.4,4.16,4.69
649,Кыштым,3.4,4.18,4.72
650,Алатырь,3.4,4.21,4.76
651,Уфа,3.39,4.12,4.62
652,Ельня,3.38,4.13,4.63
653,Вязьма,3.38,4.13,4.65
654,Черногорск,3.37,3.96,4.36
655,Хабаровск,3.37,4.03,4.46
656,Тейково,3.36,4.11,4.63
657,Комсомольск,3.36,4.11,4.63
658,Чайковский,3.36,4.1,4.61
659,Починок,3.36,4.11,4.62
660,Устюжна,3.35,4.09,4.59
661,Нерехта,3.35,4.08,4.57
662,Абакан,3.34,3.96,4.37
663,Прохладный,3.34,3.89,4.24
664,Георгиевск,3.34,3.89,4.24
665,Новопавловск,3.34,3.89,4.24
666,Прокопьевск,3.32,4.02,4.49
667,Шилка,3.32,3.96,4.38
668,Киселевск,3.32,4.02,4.49
669,Сусуман,3.31,3.77,4.06
670,Красноярск,3.31,4.04,4.54
671,Закаменск,3.31,3.83,4.17
672,Сосновоборск,3.31,4.04,4.54
673,Амурск,3.3,3.89,4.28
674,Полярный,3.3,4.04,4.54
675,Каменск-Уральский,3.3,4.08,4.62
676,Малмыж,3.29,4.04,4.57
677,Кунгур,3.28,4.03,4.55
678,Спас-Деменск,3.27,4.01,4.53
679,Ирбит,3.27,4.05,4.59
680,Минусинск,3.25,3.85,4.26
681,Нерюнгри,3.24,3.87,4.3
682,Светогорск,3.23,3.91,4.38
683,Ростов,3.22,3.97,4.49
684,Озерск,3.21,3.99,4.54
685,Снежинск,3.21,3.99,4.54
686,Касли,3.21,3.99,4.54
687,Сертолово,3.21,3.91,4.38
688,Онега,3.2,3.87,4.33
689,Приволжск,3.19,3.92,4.43
690,Волгореченск,3.19,3.92,4.43
691,Плес,3.19,3.92,4.43
692,Фурманов,3.19,3.92,4.43
693,Пудож,3.18,3.86,4.32
694,Кемь,3.18,3.86,4.32
695,Козьмодемьянск,3.17,3.92,4.43
